Age,Gender,Education,Job Title,Experience (Years),Monthly Salary (INR)
30,Male,Bachelor,Content Writer,4,23750
29,Male,Bachelor,Software Engineer,8,35899
41,Male,Master,UI/UX Designer,12,40893
28,Female,Bachelor,HR Manager,7,42585
37,Male,Master,Customer Support,1,15937
48,Male,Bachelor,Operations Manager,5,45186
45,Male,Master,Data Scientist,7,44758
59,Female,Master,Sales Executive,28,42763
58,Female,Diploma,Project Manager,10,62899
43,Male,Bachelor,Graphic Designer,0,20000
43,Female,Bachelor,Software Engineer,1,30876
54,Male,Bachelor,IT Support Specialist,2,21951
51,Female,Master,Software Engineer,12,38436
36,Female,Bachelor,Marketing Manager,11,37144
40,Male,Diploma,Graphic Designer,12,36541
52,Male,Bachelor,Operations Manager,29,55675
55,Male,Diploma,Electrical Engineer,20,52665
48,Male,Bachelor,Civil Engineer,28,48690
40,Female,Bachelor,Graphic Designer,20,46629
31,Female,Diploma,Graphic Designer,3,24067
56,Male,Diploma,Electrical Engineer,35,70036
49,Other,Bachelor,Financial Analyst,26,63128
32,Male,Diploma,Legal Advisor,7,36673
56,Male,Diploma,Business Analyst,31,73181
51,Male,Master,UI/UX Designer,11,36322
24,Female,Bachelor,UI/UX Designer,3,27291
52,Male,Bachelor,Software Engineer,31,76358
37,Male,Diploma,Content Writer,2,19982
53,Female,PhD,UI/UX Designer,14,45074
60,Male,Diploma,Graphic Designer,3,21935
28,Male,Master,Accountant,6,32354
45,Male,Bachelor,Financial Analyst,11,45798
57,Male,Master,Graphic Designer,20,39601
53,Male,Master,Marketing Manager,4,34018
21,Male,Bachelor,UI/UX Designer,0,25000
59,Female,Bachelor,Graphic Designer,34,56908
32,Male,PhD,System Administrator,8,34967
50,Male,Bachelor,Research Analyst,20,47077
50,Female,Bachelor,Teacher,19,37243
56,Male,Bachelor,HR Manager,11,44490
27,Male,Master,Business Analyst,0,30000
59,Male,Bachelor,Data Scientist,13,47257
52,Male,Master,Operations Manager,32,62303
55,Female,Diploma,Marketing Manager,31,53901
38,Male,Bachelor,Research Analyst,1,25795
44,Female,PhD,Financial Analyst,17,49081
53,Female,Master,Customer Support,6,22813
39,Female,Bachelor,Financial Analyst,17,43955
46,Male,Master,Product Manager,23,83948
33,Female,Bachelor,IT Support Specialist,3,23958
28,Male,Bachelor,Marketing Manager,3,33000
51,Female,Master,Product Manager,20,77032
42,Male,Bachelor,UI/UX Designer,17,35333
25,Male,Bachelor,System Administrator,4,28829
24,Female,Diploma,Network Engineer,3,28677
45,Female,Bachelor,Accountant,2,26275
52,Male,Bachelor,HR Manager,30,75535
55,Male,Bachelor,Network Engineer,10,34034
54,Female,Diploma,Electrical Engineer,17,45901
37,Male,Master,Product Manager,8,54437
56,Female,Master,Mechanical Engineer,14,44840
55,Female,High School,Mechanical Engineer,15,35962
55,Male,Bachelor,Marketing Manager,16,42783
39,Male,Master,Sales Executive,13,29553
43,Male,Bachelor,Network Engineer,11,32459
32,Female,Diploma,Teacher,5,26760
51,Female,Master,HR Manager,25,71721
53,Female,Master,UI/UX Designer,16,40179
39,Male,PhD,Teacher,0,20000
42,Female,Diploma,Data Scientist,16,63761
41,Male,Bachelor,UI/UX Designer,1,26161
31,Male,Diploma,Marketing Manager,8,35450
21,Male,Master,Sales Executive,1,21197
33,Male,Diploma,Electrical Engineer,9,36217
45,Male,Bachelor,HR Manager,21,65467
26,Female,Bachelor,Software Engineer,3,32773
46,Other,Diploma,Content Writer,20,29997
53,Female,Master,Project Manager,1,51391
35,Female,Master,Legal Advisor,12,41968
41,Male,High School,Financial Analyst,21,45976
34,Male,Master,Content Writer,9,29564
34,Female,Bachelor,Software Engineer,2,32420
31,Female,Bachelor,Civil Engineer,1,26352
37,Male,Bachelor,Civil Engineer,17,40586
43,Female,Bachelor,Data Scientist,18,49974
38,Male,Master,Electrical Engineer,16,33261
55,Male,Diploma,Project Manager,30,94749
22,Female,Bachelor,Operations Manager,0,40000
49,Male,Diploma,Mechanical Engineer,7,33590
31,Male,Bachelor,Product Manager,1,51166
51,Female,Master,Operations Manager,13,47016
39,Female,Bachelor,Business Analyst,19,47366
21,Male,PhD,Operations Manager,1,41212
44,Male,Bachelor,Product Manager,21,68047
40,Male,Bachelor,Civil Engineer,18,36166
57,Female,Bachelor,Legal Advisor,17,51096
49,Other,Bachelor,Business Analyst,11,41831
26,Female,High School,Data Scientist,3,43171
41,Female,Master,Operations Manager,4,42896
25,Male,Master,Customer Support,5,20872
49,Female,Bachelor,Mechanical Engineer,23,54094
52,Male,Bachelor,Electrical Engineer,31,63846
34,Male,Bachelor,Product Manager,13,68904
36,Male,Bachelor,Sales Executive,16,39955
22,Female,High School,Marketing Manager,0,30000
55,Female,Master,Marketing Manager,24,57586
59,Male,Bachelor,Electrical Engineer,11,33004
50,Male,Bachelor,HR Manager,16,53274
34,Female,Bachelor,Business Analyst,1,31139
26,Male,Diploma,Network Engineer,6,28619
51,Male,Master,Content Writer,30,42961
25,Male,Master,IT Support Specialist,0,20000
35,Female,Master,Accountant,5,28501
